name,summary,last_release,status,requires,status.1,snyk,pip,libhunt
pytest-cov-exclude,Pytest plugin for excluding tests based on coverage data,2016-04-29,4 - Beta,"pytest (>=2.8.0,<2.9.0); extra == ‘dev’",,https://snyk.io/advisor/python/pytest-cov-exclude,https://pypi.org/project/pytest-cov-exclude,
pytest_covid,"Too many faillure, less tests.",2020-06-24,,,,https://snyk.io/advisor/python/pytest_covid,https://pypi.org/project/pytest_covid,
pytest-cpp,Use pytest’s runner to discover and execute C++ tests,2023-11-01,5 - Production/Stable,pytest >=7.0,,https://snyk.io/advisor/python/pytest-cpp,https://pypi.org/project/pytest-cpp,
pytest-cppython,A pytest plugin that imports CPPython testing types,2024-03-14,,,,https://snyk.io/advisor/python/pytest-cppython,https://pypi.org/project/pytest-cppython,https://www.libhunt.com/r/pytest-cpp
pytest-cqase,Custom qase pytest plugin,2022-08-22,,"pytest (>=7.1.2,<8.0.0)",,https://snyk.io/advisor/python/pytest-cqase,https://pypi.org/project/pytest-cqase,
pytest-cram,Run cram tests with pytest.,2020-08-08,,,,https://snyk.io/advisor/python/pytest-cram,https://pypi.org/project/pytest-cram,
pytest-crate,Manages CrateDB instances during your integration tests,2019-05-28,3 - Alpha,pytest (>=4.0),,https://snyk.io/advisor/python/pytest-crate,https://pypi.org/project/pytest-crate,
pytest-crayons,A pytest plugin for colorful print statements,2023-10-08,,pytest,,https://snyk.io/advisor/python/pytest-crayons,https://pypi.org/project/pytest-crayons,
pytest-create,pytest-create,2023-02-15,1 - Planning,,,https://snyk.io/advisor/python/pytest-create,https://pypi.org/project/pytest-create,
pytest-cricri,A Cricri plugin for pytest.,2018-01-27,,pytest,,https://snyk.io/advisor/python/pytest-cricri,https://pypi.org/project/pytest-cricri,
pytest-crontab,add crontab task in crontab,2019-12-09,,,,https://snyk.io/advisor/python/pytest-crontab,https://pypi.org/project/pytest-crontab,
pytest-csv,CSV output for pytest.,2021-04-22,,pytest (>=6.0),,https://snyk.io/advisor/python/pytest-csv,https://pypi.org/project/pytest-csv,
pytest-csv-params,Pytest plugin for Test Case Parametrization with CSV files,2023-07-01,5 - Production/Stable,"pytest (>=7.4.0,<8.0.0)",,https://snyk.io/advisor/python/pytest-csv-params,https://pypi.org/project/pytest-csv-params,
pytest-curio,Pytest support for curio.,2020-10-07,,,,https://snyk.io/advisor/python/pytest-curio,https://pypi.org/project/pytest-curio,
pytest-curl-report,pytest plugin to generate curl command line report,2016-12-11,4 - Beta,,,https://snyk.io/advisor/python/pytest-curl-report,https://pypi.org/project/pytest-curl-report,
pytest-custom-concurrency,Custom grouping concurrence for pytest,2021-02-08,,,,https://snyk.io/advisor/python/pytest-custom-concurrency,https://pypi.org/project/pytest-custom-concurrency,
pytest-custom-exit-code,Exit pytest test session with custom exit code in different scenarios,2019-08-07,4 - Beta,pytest (>=4.0.2),,https://snyk.io/advisor/python/pytest-custom-exit-code,https://pypi.org/project/pytest-custom-exit-code,
pytest-custom-nodeid,"Custom grouping for pytest-xdist, rename test cases name and test cases nodeid, support allure report",2021-03-07,,,,https://snyk.io/advisor/python/pytest-custom-nodeid,https://pypi.org/project/pytest-custom-nodeid,
pytest-custom-outputs,A plugin that allows users to create and use custom outputs instead of the standard Pass and Fail. Also allows users to retrieve test results in fixtures.,2024-07-10,4 - Beta,pytest>=6.2.0,,https://snyk.io/advisor/python/pytest-custom-outputs,https://pypi.org/project/pytest-custom-outputs,https://www.libhunt.com/r/pytest-custom-nodeid
pytest-custom-report,Configure the symbols displayed for test outcomes,2019-01-30,,pytest,,https://snyk.io/advisor/python/pytest-custom-report,https://pypi.org/project/pytest-custom-report,
pytest-custom-scheduling,"Custom grouping for pytest-xdist, rename test cases name and test cases nodeid, support allure report",2021-03-01,,,,https://snyk.io/advisor/python/pytest-custom-scheduling,https://pypi.org/project/pytest-custom-scheduling,
pytest-cython,A plugin for testing Cython extension modules,2024-04-05,5 - Production/Stable,pytest>=8,,https://snyk.io/advisor/python/pytest-cython,https://pypi.org/project/pytest-cython,https://www.libhunt.com/r/pytest-custom-scheduling
pytest-cython-collect,,2022-06-17,,pytest,,https://snyk.io/advisor/python/pytest-cython-collect,https://pypi.org/project/pytest-cython-collect,
pytest-darker,A pytest plugin for checking of modified code using Darker,2024-02-25,,"pytest <7,>=6.0.1",,https://snyk.io/advisor/python/pytest-darker,https://pypi.org/project/pytest-darker,https://www.libhunt.com/r/pytest-cython-collect
pytest-dash,pytest fixtures to run dash applications.,2019-03-18,,,,https://snyk.io/advisor/python/pytest-dash,https://pypi.org/project/pytest-dash,
pytest-dashboard,,2024-05-30,,"pytest<8.0.0,>=7.4.3",,https://snyk.io/advisor/python/pytest-dashboard,https://pypi.org/project/pytest-dashboard,https://www.libhunt.com/r/pytest-dash
pytest-data,Useful functions for managing data for pytest fixtures,2016-11-01,5 - Production/Stable,,,https://snyk.io/advisor/python/pytest-data,https://pypi.org/project/pytest-data,
pytest-databases,Reusable database fixtures for any and all databases.,2024-07-02,4 - Beta,pytest,,https://snyk.io/advisor/python/pytest-databases,https://pypi.org/project/pytest-databases,https://www.libhunt.com/r/pytest-data
pytest-databricks,Pytest plugin for remote Databricks notebooks testing,2020-07-29,,pytest,,https://snyk.io/advisor/python/pytest-databricks,https://pypi.org/project/pytest-databricks,
pytest-datadir,pytest plugin for test data directories and files,2023-10-03,5 - Production/Stable,pytest >=5.0,,https://snyk.io/advisor/python/pytest-datadir,https://pypi.org/project/pytest-datadir,
pytest-datadir-mgr,"Manager for test data: downloads, artifact caching, and a tmpdir context.",2023-04-06,5 - Production/Stable,pytest (>=7.1),,https://snyk.io/advisor/python/pytest-datadir-mgr,https://pypi.org/project/pytest-datadir-mgr,
pytest-datadir-ng,Fixtures for pytest allowing test functions/methods to easily retrieve test resources from the local filesystem.,2019-12-25,5 - Production/Stable,pytest,,https://snyk.io/advisor/python/pytest-datadir-ng,https://pypi.org/project/pytest-datadir-ng,
pytest-datadir-nng,Fixtures for pytest allowing test functions/methods to easily retrieve test resources from the local filesystem.,2022-11-09,5 - Production/Stable,"pytest (>=7.0.0,<8.0.0)",,https://snyk.io/advisor/python/pytest-datadir-nng,https://pypi.org/project/pytest-datadir-nng,
pytest-data-extractor,A pytest plugin to extract relevant metadata about tests into an external file (currently only json support),2022-07-19,,pytest (>=7.0.1),,https://snyk.io/advisor/python/pytest-data-extractor,https://pypi.org/project/pytest-data-extractor,
pytest-data-file,Fixture “data” and “case_data” for test from yaml file,2019-12-04,,,,https://snyk.io/advisor/python/pytest-data-file,https://pypi.org/project/pytest-data-file,
pytest-datafiles,py.test plugin to create a ‘tmp_path’ containing predefined files/directories.,2023-02-24,5 - Production/Stable,pytest (>=3.6),,https://snyk.io/advisor/python/pytest-datafiles,https://pypi.org/project/pytest-datafiles,
pytest-datafixtures,Data fixtures for pytest made simple,2020-12-05,5 - Production/Stable,,,https://snyk.io/advisor/python/pytest-datafixtures,https://pypi.org/project/pytest-datafixtures,
pytest-data-from-files,pytest plugin to provide data from files loaded automatically,2021-10-13,4 - Beta,pytest,,https://snyk.io/advisor/python/pytest-data-from-files,https://pypi.org/project/pytest-data-from-files,
pytest-dataplugin,A pytest plugin for managing an archive of test data.,2017-09-16,1 - Planning,,,https://snyk.io/advisor/python/pytest-dataplugin,https://pypi.org/project/pytest-dataplugin,
pytest-datarecorder,A py.test plugin recording and comparing test output.,2024-02-15,5 - Production/Stable,pytest,,https://snyk.io/advisor/python/pytest-datarecorder,https://pypi.org/project/pytest-datarecorder,https://www.libhunt.com/r/pytest-dataplugin
pytest-dataset,Plugin for loading different datasets for pytest by prefix from json or yaml files,2023-09-01,5 - Production/Stable,,,https://snyk.io/advisor/python/pytest-dataset,https://pypi.org/project/pytest-dataset,
pytest-data-suites,Class-based pytest parametrization,2024-04-06,,"pytest<9.0,>=6.0",,https://snyk.io/advisor/python/pytest-data-suites,https://pypi.org/project/pytest-data-suites,https://www.libhunt.com/r/pytest-dataset
pytest-datatest,A pytest plugin for test driven data-wrangling (this is the development version of datatest’s pytest integration).,2020-10-15,4 - Beta,pytest (>=3.3),,https://snyk.io/advisor/python/pytest-datatest,https://pypi.org/project/pytest-datatest,
pytest-db,Session scope fixture “db” for mysql query or change,2019-12-04,,,,https://snyk.io/advisor/python/pytest-db,https://pypi.org/project/pytest-db,
pytest-dbfixtures,Databases fixtures plugin for py.test.,2016-12-07,4 - Beta,,,https://snyk.io/advisor/python/pytest-dbfixtures,https://pypi.org/project/pytest-dbfixtures,
pytest-db-plugin,,2021-11-27,,pytest (>=5.0),,https://snyk.io/advisor/python/pytest-db-plugin,https://pypi.org/project/pytest-db-plugin,
pytest-dbt,Unit test dbt models with standard python tooling,2023-06-08,2 - Pre-Alpha,"pytest (>=7.0.0,<8.0.0)",,https://snyk.io/advisor/python/pytest-dbt,https://pypi.org/project/pytest-dbt,
pytest-dbt-adapter,A pytest plugin for testing dbt adapter plugins,2021-11-24,,"pytest (<7,>=6)",,https://snyk.io/advisor/python/pytest-dbt-adapter,https://pypi.org/project/pytest-dbt-adapter,
pytest-dbt-conventions,A pytest plugin for linting a dbt project’s conventions,2022-03-02,,"pytest (>=6.2.5,<7.0.0)",,https://snyk.io/advisor/python/pytest-dbt-conventions,https://pypi.org/project/pytest-dbt-conventions,
pytest-dbt-core,Pytest extension for dbt.,2024-06-04,,pytest>=6.2.5; extra == “test”,,https://snyk.io/advisor/python/pytest-dbt-core,https://pypi.org/project/pytest-dbt-core,https://www.libhunt.com/r/pytest-dbt-conventions
pytest-dbt-postgres,Pytest tooling to unittest DBT & Postgres models,2024-01-02,,"pytest (>=7.4.3,<8.0.0)",,https://snyk.io/advisor/python/pytest-dbt-postgres,https://pypi.org/project/pytest-dbt-postgres,https://www.libhunt.com/r/pytest-dbt-core
pytest-dbus-notification,D-BUS notifications for pytest results.,2014-03-05,5 - Production/Stable,,,https://snyk.io/advisor/python/pytest-dbus-notification,https://pypi.org/project/pytest-dbus-notification,
pytest-dbx,Pytest plugin to run unit tests for dbx (Databricks CLI extensions) related code,2022-11-29,,"pytest (>=7.1.3,<8.0.0)",,https://snyk.io/advisor/python/pytest-dbx,https://pypi.org/project/pytest-dbx,
pytest-dc,Manages Docker containers during your integration tests,2023-08-16,5 - Production/Stable,pytest >=3.3,,https://snyk.io/advisor/python/pytest-dc,https://pypi.org/project/pytest-dc,
pytest-deadfixtures,A simple plugin to list unused fixtures in pytest,2020-07-23,5 - Production/Stable,,,https://snyk.io/advisor/python/pytest-deadfixtures,https://pypi.org/project/pytest-deadfixtures,
pytest-deduplicate,Identifies duplicate unit tests,2023-08-12,4 - Beta,pytest,,https://snyk.io/advisor/python/pytest-deduplicate,https://pypi.org/project/pytest-deduplicate,
pytest-deepcov,deepcov,2021-03-30,,,,https://snyk.io/advisor/python/pytest-deepcov,https://pypi.org/project/pytest-deepcov,
pytest-defer,,2021-08-24,,,,https://snyk.io/advisor/python/pytest-defer,https://pypi.org/project/pytest-defer,
pytest-demo-plugin,pytest示例插件,2021-05-15,,,,https://snyk.io/advisor/python/pytest-demo-plugin,https://pypi.org/project/pytest-demo-plugin,
pytest-dependency,Manage dependencies of tests,2023-12-31,4 - Beta,,,https://snyk.io/advisor/python/pytest-dependency,https://pypi.org/project/pytest-dependency,
pytest-depends,Tests that depend on other tests,2020-04-05,5 - Production/Stable,pytest (>=3),,https://snyk.io/advisor/python/pytest-depends,https://pypi.org/project/pytest-depends,
pytest-deprecate,Mark tests as testing a deprecated feature with a warning note.,2019-07-01,,,,https://snyk.io/advisor/python/pytest-deprecate,https://pypi.org/project/pytest-deprecate,
pytest-describe,Describe-style plugin for pytest,2024-02-10,5 - Production/Stable,"pytest <9,>=4.6",,https://snyk.io/advisor/python/pytest-describe,https://pypi.org/project/pytest-describe,https://www.libhunt.com/r/pytest-deprecate
pytest-describe-it,plugin for rich text descriptions,2019-07-19,4 - Beta,pytest,,https://snyk.io/advisor/python/pytest-describe-it,https://pypi.org/project/pytest-describe-it,
pytest-deselect-if,A plugin to deselect pytests tests rather than using skipif,2024-03-24,4 - Beta,pytest>=6.2.0,,https://snyk.io/advisor/python/pytest-deselect-if,https://pypi.org/project/pytest-deselect-if,https://www.libhunt.com/r/pytest-describe-it
pytest-devpi-server,DevPI server fixture for py.test,2019-05-28,5 - Production/Stable,pytest,,https://snyk.io/advisor/python/pytest-devpi-server,https://pypi.org/project/pytest-devpi-server,
pytest-dhos,Common fixtures for pytest in DHOS services and libraries,2022-09-07,,,,https://snyk.io/advisor/python/pytest-dhos,https://pypi.org/project/pytest-dhos,
pytest-diamond,pytest plugin for diamond,2015-08-31,4 - Beta,,,https://snyk.io/advisor/python/pytest-diamond,https://pypi.org/project/pytest-diamond,
pytest-dicom,pytest plugin to provide DICOM fixtures,2018-12-19,3 - Alpha,pytest,,https://snyk.io/advisor/python/pytest-dicom,https://pypi.org/project/pytest-dicom,
pytest-dictsdiff,,2019-07-26,,,,https://snyk.io/advisor/python/pytest-dictsdiff,https://pypi.org/project/pytest-dictsdiff,
pytest-diff,A simple plugin to use with pytest,2019-03-30,4 - Beta,pytest (>=3.5.0),,https://snyk.io/advisor/python/pytest-diff,https://pypi.org/project/pytest-diff,
pytest-diffeo,A package to prevent Dependency Confusion attacks against Yandex.,2024-02-20,,,,https://snyk.io/advisor/python/pytest-diffeo,https://pypi.org/project/pytest-diffeo,https://www.libhunt.com/r/pytest-diff
pytest-diff-selector,Get tests affected by code changes (using git),2022-02-24,4 - Beta,pytest (>=6.2.2) ; extra == ‘all’,,https://snyk.io/advisor/python/pytest-diff-selector,https://pypi.org/project/pytest-diff-selector,
pytest-difido,PyTest plugin for generating Difido reports,2022-10-23,4 - Beta,pytest (>=4.0.0),,https://snyk.io/advisor/python/pytest-difido,https://pypi.org/project/pytest-difido,
pytest-dir-equal,pytest-dir-equals is a pytest plugin providing helpers to assert directories equality allowing golden testing,2023-12-11,4 - Beta,pytest>=7.3.2,,https://snyk.io/advisor/python/pytest-dir-equal,https://pypi.org/project/pytest-dir-equal,
pytest-dirty,Static import analysis for thrifty testing.,2024-07-11,3 - Alpha,pytest>=8.2; extra == “dev”,,https://snyk.io/advisor/python/pytest-dirty,https://pypi.org/project/pytest-dirty,https://www.libhunt.com/r/pytest-dir-equal
pytest-disable,pytest plugin to disable a test and skip it from testrun,2015-09-10,4 - Beta,,,https://snyk.io/advisor/python/pytest-disable,https://pypi.org/project/pytest-disable,
pytest-disable-plugin,Disable plugins per test,2019-02-28,4 - Beta,pytest (>=3.5.0),,https://snyk.io/advisor/python/pytest-disable-plugin,https://pypi.org/project/pytest-disable-plugin,
pytest-discord,A pytest plugin to notify test results to a Discord channel.,2024-05-11,4 - Beta,"pytest!=6.0.0,<9,>=3.3.2",,https://snyk.io/advisor/python/pytest-discord,https://pypi.org/project/pytest-discord,https://www.libhunt.com/r/pytest-disable-plugin
pytest-discover,Pytest plugin to record discovered tests in a file,2024-03-26,,pytest,,https://snyk.io/advisor/python/pytest-discover,https://pypi.org/project/pytest-discover,https://www.libhunt.com/r/pytest-discord
pytest-ditto,Snapshot testing pytest plugin with minimal ceremony and flexible persistence formats.,2024-06-09,4 - Beta,pytest>=3.5.0,,https://snyk.io/advisor/python/pytest-ditto,https://pypi.org/project/pytest-ditto,https://www.libhunt.com/r/pytest-discover
pytest-ditto-pandas,pytest-ditto plugin for pandas snapshots.,2024-05-29,4 - Beta,pytest>=3.5.0,,https://snyk.io/advisor/python/pytest-ditto-pandas,https://pypi.org/project/pytest-ditto-pandas,https://www.libhunt.com/r/pytest-ditto
pytest-ditto-pyarrow,pytest-ditto plugin for pyarrow tables.,2024-06-09,4 - Beta,pytest>=3.5.0,,https://snyk.io/advisor/python/pytest-ditto-pyarrow,https://pypi.org/project/pytest-ditto-pyarrow,https://www.libhunt.com/r/pytest-ditto-pandas
pytest-django,A Django plugin for pytest.,2024-01-30,5 - Production/Stable,pytest >=7.0.0,,https://snyk.io/advisor/python/pytest-django,https://pypi.org/project/pytest-django,https://www.libhunt.com/r/pytest-ditto-pyarrow
pytest-django-ahead,A Django plugin for pytest.,2016-10-27,5 - Production/Stable,pytest (>=2.9),,https://snyk.io/advisor/python/pytest-django-ahead,https://pypi.org/project/pytest-django-ahead,
pytest-djangoapp,Nice pytest plugin to help you with Django pluggable application testing.,2023-05-19,4 - Beta,pytest,,https://snyk.io/advisor/python/pytest-djangoapp,https://pypi.org/project/pytest-djangoapp,
pytest-django-cache-xdist,A djangocachexdist plugin for pytest,2020-05-12,4 - Beta,,,https://snyk.io/advisor/python/pytest-django-cache-xdist,https://pypi.org/project/pytest-django-cache-xdist,
pytest-django-casperjs,Integrate CasperJS with your django tests as a pytest fixture.,2015-03-15,2 - Pre-Alpha,,,https://snyk.io/advisor/python/pytest-django-casperjs,https://pypi.org/project/pytest-django-casperjs,
pytest-django-class,A pytest plugin for running django in class-scoped fixtures,2023-08-08,4 - Beta,,,https://snyk.io/advisor/python/pytest-django-class,https://pypi.org/project/pytest-django-class,
pytest-django-docker-pg,,2024-06-13,5 - Production/Stable,"pytest<9.0.0,>=7.0.0",,https://snyk.io/advisor/python/pytest-django-docker-pg,https://pypi.org/project/pytest-django-docker-pg,https://www.libhunt.com/r/pytest-django-class
pytest-django-dotenv,Pytest plugin used to setup environment variables with django-dotenv,2019-11-26,4 - Beta,pytest (>=2.6.0),,https://snyk.io/advisor/python/pytest-django-dotenv,https://pypi.org/project/pytest-django-dotenv,
pytest-django-factories,Factories for your Django models that can be used as Pytest fixtures.,2020-11-12,4 - Beta,,,https://snyk.io/advisor/python/pytest-django-factories,https://pypi.org/project/pytest-django-factories,
pytest-django-filefield,Replaces FileField.storage with something you can patch globally.,2022-05-09,5 - Production/Stable,pytest >= 5.2,,https://snyk.io/advisor/python/pytest-django-filefield,https://pypi.org/project/pytest-django-filefield,
pytest-django-gcir,A Django plugin for pytest.,2018-03-06,5 - Production/Stable,,,https://snyk.io/advisor/python/pytest-django-gcir,https://pypi.org/project/pytest-django-gcir,
pytest-django-haystack,Cleanup your Haystack indexes between tests,2017-09-03,5 - Production/Stable,pytest (>=2.3.4),,https://snyk.io/advisor/python/pytest-django-haystack,https://pypi.org/project/pytest-django-haystack,
pytest-django-ifactory,A model instance factory for pytest-django,2023-08-27,5 - Production/Stable,,,https://snyk.io/advisor/python/pytest-django-ifactory,https://pypi.org/project/pytest-django-ifactory,
pytest-django-lite,The bare minimum to integrate py.test with Django.,2014-01-30,,,,https://snyk.io/advisor/python/pytest-django-lite,https://pypi.org/project/pytest-django-lite,
pytest-django-liveserver-ssl,,2022-01-20,3 - Alpha,,,https://snyk.io/advisor/python/pytest-django-liveserver-ssl,https://pypi.org/project/pytest-django-liveserver-ssl,
pytest-django-model,A Simple Way to Test your Django Models,2019-02-14,4 - Beta,,,https://snyk.io/advisor/python/pytest-django-model,https://pypi.org/project/pytest-django-model,
pytest-django-ordering,A pytest plugin for preserving the order in which Django runs tests.,2019-07-25,5 - Production/Stable,pytest (>=2.3.0),,https://snyk.io/advisor/python/pytest-django-ordering,https://pypi.org/project/pytest-django-ordering,
pytest-django-queries,Generate performance reports from your django database performance tests.,2021-03-01,,,,https://snyk.io/advisor/python/pytest-django-queries,https://pypi.org/project/pytest-django-queries,
pytest-djangorestframework,A djangorestframework plugin for pytest,2019-08-11,4 - Beta,,,https://snyk.io/advisor/python/pytest-djangorestframework,https://pypi.org/project/pytest-djangorestframework,
pytest-django-rq,A pytest plugin to help writing unit test for django-rq,2020-04-13,4 - Beta,,,https://snyk.io/advisor/python/pytest-django-rq,https://pypi.org/project/pytest-django-rq,
pytest-django-sqlcounts,py.test plugin for reporting the number of SQLs executed per django testcase.,2015-06-16,4 - Beta,,,https://snyk.io/advisor/python/pytest-django-sqlcounts,https://pypi.org/project/pytest-django-sqlcounts,
pytest-django-testing-postgresql,Use a temporary PostgreSQL database with pytest-django,2022-01-31,4 - Beta,,,https://snyk.io/advisor/python/pytest-django-testing-postgresql,https://pypi.org/project/pytest-django-testing-postgresql,
pytest-doc,A documentation plugin for py.test.,2015-06-28,5 - Production/Stable,,,https://snyk.io/advisor/python/pytest-doc,https://pypi.org/project/pytest-doc,
pytest-docfiles,pytest plugin to test codeblocks in your documentation.,2021-12-22,4 - Beta,pytest (>=3.7.0),,https://snyk.io/advisor/python/pytest-docfiles,https://pypi.org/project/pytest-docfiles,
pytest-docgen,An RST Documentation Generator for pytest-based test suites,2020-04-17,,,,https://snyk.io/advisor/python/pytest-docgen,https://pypi.org/project/pytest-docgen,
pytest-docker,Simple pytest fixtures for Docker and Docker Compose based tests,2024-02-02,,"pytest <9.0,>=4.0",,https://snyk.io/advisor/python/pytest-docker,https://pypi.org/project/pytest-docker,https://www.libhunt.com/r/pytest-docgen
pytest-docker-apache-fixtures,Pytest fixtures for testing with apache2 (httpd).,2022-02-16,4 - Beta,pytest,,https://snyk.io/advisor/python/pytest-docker-apache-fixtures,https://pypi.org/project/pytest-docker-apache-fixtures,
pytest-docker-butla,,2019-06-16,3 - Alpha,,,https://snyk.io/advisor/python/pytest-docker-butla,https://pypi.org/project/pytest-docker-butla,
pytest-dockerc,"Run, manage and stop Docker Compose project from Docker API",2020-10-09,5 - Production/Stable,pytest (>=3.0),,https://snyk.io/advisor/python/pytest-dockerc,https://pypi.org/project/pytest-dockerc,
pytest-docker-compose,Manages Docker containers during your integration tests,2021-01-26,5 - Production/Stable,pytest (>=3.3),,https://snyk.io/advisor/python/pytest-docker-compose,https://pypi.org/project/pytest-docker-compose,
pytest-docker-compose-v2,Manages Docker containers during your integration tests,2024-02-28,4 - Beta,"pytest<8,>=7.2.2",,https://snyk.io/advisor/python/pytest-docker-compose-v2,https://pypi.org/project/pytest-docker-compose-v2,https://www.libhunt.com/r/pytest-docker-compose
pytest-docker-db,A plugin to use docker databases for pytests,2021-03-20,5 - Production/Stable,pytest (>=3.1.1),,https://snyk.io/advisor/python/pytest-docker-db,https://pypi.org/project/pytest-docker-db,
pytest-docker-fixtures,pytest docker fixtures,2024-04-03,3 - Alpha,,,https://snyk.io/advisor/python/pytest-docker-fixtures,https://pypi.org/project/pytest-docker-fixtures,https://www.libhunt.com/r/pytest-docker-db
pytest-docker-git-fixtures,Pytest fixtures for testing with git scm.,2022-02-09,4 - Beta,pytest,,https://snyk.io/advisor/python/pytest-docker-git-fixtures,https://pypi.org/project/pytest-docker-git-fixtures,
pytest-docker-haproxy-fixtures,Pytest fixtures for testing with haproxy.,2022-02-09,4 - Beta,pytest,,https://snyk.io/advisor/python/pytest-docker-haproxy-fixtures,https://pypi.org/project/pytest-docker-haproxy-fixtures,
pytest-docker-pexpect,pytest plugin for writing functional tests with pexpect and docker,2019-01-14,,pytest,,https://snyk.io/advisor/python/pytest-docker-pexpect,https://pypi.org/project/pytest-docker-pexpect,
pytest-docker-postgresql,A simple plugin to use with pytest,2019-09-24,4 - Beta,pytest (>=3.5.0),,https://snyk.io/advisor/python/pytest-docker-postgresql,https://pypi.org/project/pytest-docker-postgresql,
pytest-docker-py,"Easy to use, simple to extend, pytest plugin that minimally leverages docker-py.",2018-11-27,,pytest (==4.0.0),,https://snyk.io/advisor/python/pytest-docker-py,https://pypi.org/project/pytest-docker-py,
pytest-docker-registry-fixtures,Pytest fixtures for testing with docker registries.,2022-04-08,4 - Beta,pytest,,https://snyk.io/advisor/python/pytest-docker-registry-fixtures,https://pypi.org/project/pytest-docker-registry-fixtures,
pytest-docker-service,pytest plugin to start docker container,2024-01-03,3 - Alpha,pytest (>=7.1.3),,https://snyk.io/advisor/python/pytest-docker-service,https://pypi.org/project/pytest-docker-service,https://www.libhunt.com/r/pytest-docker-registry-fixtures
pytest-docker-squid-fixtures,Pytest fixtures for testing with squid.,2022-02-09,4 - Beta,pytest,,https://snyk.io/advisor/python/pytest-docker-squid-fixtures,https://pypi.org/project/pytest-docker-squid-fixtures,
pytest-docker-tools,Docker integration tests for pytest,2022-02-17,4 - Beta,pytest (>=6.0.1),,https://snyk.io/advisor/python/pytest-docker-tools,https://pypi.org/project/pytest-docker-tools,
pytest-docs,Documentation tool for pytest,2018-11-11,4 - Beta,pytest (>=3.5.0),,https://snyk.io/advisor/python/pytest-docs,https://pypi.org/project/pytest-docs,
pytest-docstyle,pytest plugin to run pydocstyle,2020-03-23,3 - Alpha,,,https://snyk.io/advisor/python/pytest-docstyle,https://pypi.org/project/pytest-docstyle,
pytest-doctest-custom,A py.test plugin for customizing string representations of doctest results.,2016-07-25,4 - Beta,,,https://snyk.io/advisor/python/pytest-doctest-custom,https://pypi.org/project/pytest-doctest-custom,
pytest-doctest-ellipsis-markers,Setup additional values for ELLIPSIS_MARKER for doctests,2018-01-12,4 - Beta,,,https://snyk.io/advisor/python/pytest-doctest-ellipsis-markers,https://pypi.org/project/pytest-doctest-ellipsis-markers,
pytest-doctest-import,A simple pytest plugin to import names and add them to the doctest namespace.,2018-11-13,4 - Beta,pytest (>=3.3.0),,https://snyk.io/advisor/python/pytest-doctest-import,https://pypi.org/project/pytest-doctest-import,
pytest-doctest-mkdocstrings,Run pytest –doctest-modules with markdown docstrings in code blocks (```),2024-03-02,,pytest,,https://snyk.io/advisor/python/pytest-doctest-mkdocstrings,https://pypi.org/project/pytest-doctest-mkdocstrings,https://www.libhunt.com/r/pytest-doctest-import
pytest-doctestplus,Pytest plugin with advanced doctest features.,2024-03-10,5 - Production/Stable,pytest >=4.6,,https://snyk.io/advisor/python/pytest-doctestplus,https://pypi.org/project/pytest-doctestplus,https://www.libhunt.com/r/pytest-doctest-mkdocstrings
pytest-documentary,A simple pytest plugin to generate test documentation,2024-07-11,,pytest,,https://snyk.io/advisor/python/pytest-documentary,https://pypi.org/project/pytest-documentary,https://www.libhunt.com/r/pytest-doctestplus
pytest-dogu-report,pytest plugin for dogu report,2023-07-07,,,,https://snyk.io/advisor/python/pytest-dogu-report,https://pypi.org/project/pytest-dogu-report,
pytest-dogu-sdk,pytest plugin for the Dogu,2023-12-14,,,,https://snyk.io/advisor/python/pytest-dogu-sdk,https://pypi.org/project/pytest-dogu-sdk,
pytest-dolphin,Some extra stuff that we use ininternally,2016-11-30,4 - Beta,pytest (==3.0.4),,https://snyk.io/advisor/python/pytest-dolphin,https://pypi.org/project/pytest-dolphin,
pytest-donde,record pytest session characteristics per test item (coverage and duration) into a persistent file and use them in your own plugin or script.,2023-10-01,4 - Beta,pytest >=7.3.1,,https://snyk.io/advisor/python/pytest-donde,https://pypi.org/project/pytest-donde,
pytest-doorstop,A pytest plugin for adding test results into doorstop items.,2020-06-09,4 - Beta,pytest (>=3.5.0),,https://snyk.io/advisor/python/pytest-doorstop,https://pypi.org/project/pytest-doorstop,
pytest-dotenv,A py.test plugin that parses environment files before running tests,2020-06-16,4 - Beta,pytest (>=5.0.0),,https://snyk.io/advisor/python/pytest-dotenv,https://pypi.org/project/pytest-dotenv,
pytest-dot-only-pkcopley,A Pytest marker for only running a single test,2023-10-27,,,,https://snyk.io/advisor/python/pytest-dot-only-pkcopley,https://pypi.org/project/pytest-dot-only-pkcopley,
pytest-draw,Pytest plugin for randomly selecting a specific number of tests,2023-03-21,3 - Alpha,pytest,,https://snyk.io/advisor/python/pytest-draw,https://pypi.org/project/pytest-draw,
pytest-drf,A Django REST framework plugin for pytest.,2022-07-12,5 - Production/Stable,pytest (>=3.7),,https://snyk.io/advisor/python/pytest-drf,https://pypi.org/project/pytest-drf,
pytest-drivings,Tool to allow webdriver automation to be ran locally or remotely,2021-01-13,,,,https://snyk.io/advisor/python/pytest-drivings,https://pypi.org/project/pytest-drivings,
